Country,Year,Gender,State Name ,Type Of Area,"Percentage Of Unemployment Rate (Ur)  (UOM:%(Percentage)), Scaling Factor:1"
India,"Financial Year (Apr - Mar), 2020",Total,Arunachal  Pradesh,Urban,11.3
India,"Financial Year (Apr - Mar), 2020",Female,Assam,Rural,7.2
India,"Financial Year (Apr - Mar), 2020",Male,Assam,Rural,6.5
India,"Financial Year (Apr - Mar), 2020",Total,Assam,Rural,6.6
India,"Financial Year (Apr - Mar), 2020",Female,Assam,Total,8.2
India,"Financial Year (Apr - Mar), 2020",Male,Assam,Total,6.9
India,"Financial Year (Apr - Mar), 2020",Total,Assam,Total,7.1
India,"Financial Year (Apr - Mar), 2020",Female,Assam,Urban,15.6
India,"Financial Year (Apr - Mar), 2020",Male,Assam,Urban,10.3
India,"Financial Year (Apr - Mar), 2020",Total,Assam,Urban,11.1
India,"Financial Year (Apr - Mar), 2020",Female,Manipur,Rural,16.5
India,"Financial Year (Apr - Mar), 2020",Male,Manipur,Rural,7.9
India,"Financial Year (Apr - Mar), 2020",Total,Manipur,Rural,10.2
India,"Financial Year (Apr - Mar), 2020",Female,Manipur,Total,13.9
India,"Financial Year (Apr - Mar), 2020",Male,Manipur,Total,8.7
India,"Financial Year (Apr - Mar), 2020",Total,Manipur,Total,10.1
India,"Financial Year (Apr - Mar), 2020",Female,Manipur,Urban,8.0
India,"Financial Year (Apr - Mar), 2020",Male,Manipur,Urban,10.5
India,"Financial Year (Apr - Mar), 2020",Total,Manipur,Urban,9.7
India,"Financial Year (Apr - Mar), 2020",Female,Meghalaya,Rural,2.2
India,"Financial Year (Apr - Mar), 2020",Male,Meghalaya,Rural,2.0
India,"Financial Year (Apr - Mar), 2020",Total,Meghalaya,Rural,2.1
India,"Financial Year (Apr - Mar), 2020",Female,Meghalaya,Total,3.4
India,"Financial Year (Apr - Mar), 2020",Male,Meghalaya,Total,2.4
India,"Financial Year (Apr - Mar), 2020",Total,Meghalaya,Total,2.8
India,"Financial Year (Apr - Mar), 2020",Female,Meghalaya,Urban,14.0
India,"Financial Year (Apr - Mar), 2020",Male,Meghalaya,Urban,4.8
India,"Financial Year (Apr - Mar), 2020",Total,Meghalaya,Urban,7.9
India,"Financial Year (Apr - Mar), 2020",Female,Mizoram,Rural,8.3
India,"Financial Year (Apr - Mar), 2020",Male,Mizoram,Rural,4.4
India,"Financial Year (Apr - Mar), 2020",Total,Mizoram,Rural,5.4
India,"Financial Year (Apr - Mar), 2020",Female,Mizoram,Total,10.8
